Type;Sort;Size;Time(ns)
half sort mass;merge sort;50;31720
half sort mass;heap sort;50;6120
half sort mass;shell(Ciur) sort;50;2830
half sort mass;shell sort;50;2880
half sort mass;bubble sort;100;46000
half sort mass;bubble(Ayverson1) sort;100;84800
half sort mass;bubble(Ayverson2) sort;100;44930
half sort mass;selection sort;100;28170
half sort mass;insertion sort;100;7070
half sort mass;binary insertion sort;100;7040
half sort mass;counting sort;100;13170
half sort mass;radix sort;100;3430
half sort mass;quick sort;100;4490
half sort mass;merge sort;100;72100
half sort mass;heap sort;100;13470
half sort mass;shell(Ciur) sort;100;5670
half sort mass;shell sort;100;9190
half sort mass;bubble sort;150;110860
half sort mass;bubble(Ayverson1) sort;150;182260
half sort mass;bubble(Ayverson2) sort;150;54470
half sort mass;selection sort;150;38350
half sort mass;insertion sort;150;15560
half sort mass;binary insertion sort;150;15550
half sort mass;counting sort;150;16770
half sort mass;radix sort;150;6040
half sort mass;quick sort;150;12510
half sort mass;merge sort;150;65090
half sort mass;heap sort;150;20990
half sort mass;shell(Ciur) sort;150;10670
half sort mass;shell sort;150;9890
half sort mass;bubble sort;200;185020
half sort mass;bubble(Ayverson1) sort;200;315620
half sort mass;bubble(Ayverson2) sort;200;95930
half sort mass;selection sort;200;65470
half sort mass;insertion sort;200;28580
half sort mass;binary insertion sort;200;21600
half sort mass;counting sort;200;23510
half sort mass;radix sort;200;12000
half sort mass;quick sort;200;14640
half sort mass;merge sort;200;68470
half sort mass;heap sort;200;29520
half sort mass;shell(Ciur) sort;200;16010
half sort mass;shell sort;200;18160
half sort mass;bubble sort;250;239700
half sort mass;bubble(Ayverson1) sort;250;282290
half sort mass;bubble(Ayverson2) sort;250;160380
half sort mass;selection sort;250;111190
half sort mass;insertion sort;250;48330
half sort mass;binary insertion sort;250;34630
half sort mass;counting sort;250;18270
half sort mass;radix sort;250;7960
half sort mass;quick sort;250;16800
half sort mass;merge sort;250;170610
half sort mass;heap sort;250;48560
half sort mass;shell(Ciur) sort;250;19540
half sort mass;shell sort;250;18250
half sort mass;bubble sort;300;258960
half sort mass;bubble(Ayverson1) sort;300;405500
half sort mass;bubble(Ayverson2) sort;300;241480
half sort mass;selection sort;300;154450
half sort mass;insertion sort;300;70040
half sort mass;binary insertion sort;300;45940
half sort mass;counting sort;300;18790
half sort mass;radix sort;300;8630
half sort mass;quick sort;300;25050
half sort mass;merge sort;300;214190
half sort mass;heap sort;300;54630
half sort mass;shell(Ciur) sort;300;25720
half sort mass;shell sort;300;35680
reverse mass;bubble sort;50;9110
reverse mass;bubble(Ayverson1) sort;50;16460
reverse mass;bubble(Ayverson2) sort;50;14050
reverse mass;selection sort;50;4610
reverse mass;insertion sort;50;5750
reverse mass;binary insertion sort;50;3600
reverse mass;counting sort;50;14080
reverse mass;radix sort;50;4440
reverse mass;quick sort;50;4870
reverse mass;merge sort;50;31690
reverse mass;heap sort;50;4690
reverse mass;shell(Ciur) sort;50;1830
reverse mass;shell sort;50;2390
reverse mass;bubble sort;100;73980
reverse mass;bubble(Ayverson1) sort;100;99900
reverse mass;bubble(Ayverson2) sort;100;51880
reverse mass;selection sort;100;15970
reverse mass;insertion sort;100;18490
reverse mass;binary insertion sort;100;24780
reverse mass;counting sort;100;13790
reverse mass;radix sort;100;3500
reverse mass;quick sort;100;11460
reverse mass;merge sort;100;33360
reverse mass;heap sort;100;6480
reverse mass;shell(Ciur) sort;100;3480
reverse mass;shell sort;100;5570
reverse mass;bubble sort;150;156600
reverse mass;bubble(Ayverson1) sort;150;242960
reverse mass;bubble(Ayverson2) sort;150;84230
reverse mass;selection sort;150;37140
reverse mass;insertion sort;150;42020
reverse mass;binary insertion sort;150;28010
reverse mass;counting sort;150;14870
reverse mass;radix sort;150;4680
reverse mass;quick sort;150;19950
reverse mass;merge sort;150;52560
reverse mass;heap sort;150;10340
reverse mass;shell(Ciur) sort;150;6950
reverse mass;shell sort;150;7380
reverse mass;bubble sort;200;163290
reverse mass;bubble(Ayverson1) sort;200;234880
reverse mass;bubble(Ayverson2) sort;200;152320
reverse mass;selection sort;200;66360
reverse mass;insertion sort;200;78470
reverse mass;binary insertion sort;200;63690
reverse mass;counting sort;200;15810
reverse mass;radix sort;200;6760
reverse mass;quick sort;200;32530
reverse mass;merge sort;200;67020
reverse mass;heap sort;200;24000
reverse mass;shell(Ciur) sort;200;10500
reverse mass;shell sort;200;14370
reverse mass;bubble sort;250;444370
reverse mass;bubble(Ayverson1) sort;250;373550
reverse mass;bubble(Ayverson2) sort;250;249260
reverse mass;selection sort;250;105720
reverse mass;insertion sort;250;138260
reverse mass;binary insertion sort;250;77610
reverse mass;counting sort;250;16120
reverse mass;radix sort;250;7340
reverse mass;quick sort;250;54380
reverse mass;merge sort;250;89990
reverse mass;heap sort;250;24650
reverse mass;shell(Ciur) sort;250;8840
reverse mass;shell sort;250;10560
reverse mass;bubble sort;300;382520
reverse mass;bubble(Ayverson1) sort;300;531720
reverse mass;bubble(Ayverson2) sort;300;348120
reverse mass;selection sort;300;153760
reverse mass;insertion sort;300;183310
reverse mass;binary insertion sort;300;116680
reverse mass;counting sort;300;17590
reverse mass;radix sort;300;7800
reverse mass;quick sort;300;88610
reverse mass;merge sort;300;101830
reverse mass;heap sort;300;27610
reverse mass;shell(Ciur) sort;300;9440
reverse mass;shell sort;300;17450
basic mass;bubble sort;400;545350
basic mass;bubble(Ayverson1) sort;400;795830
basic mass;bubble(Ayverson2) sort;400;505040
basic mass;selection sort;400;261180
basic mass;insertion sort;400;126710
basic mass;binary insertion sort;400;148480
basic mass;counting sort;400;3110
basic mass;radix sort;400;15240
basic mass;quick sort;400;30890
basic mass;merge sort;400;142380
basic mass;heap sort;400;34620
basic mass;shell(Ciur) sort;400;15690
basic mass;shell sort;400;38710
basic mass;bubble sort;500;718790
basic mass;bubble(Ayverson1) sort;500;1161530
basic mass;bubble(Ayverson2) sort;500;748330
basic mass;selection sort;500;423000
basic mass;insertion sort;500;240030
basic mass;binary insertion sort;500;193630
basic mass;counting sort;500;3790
basic mass;radix sort;500;8630
basic mass;quick sort;500;52730
basic mass;merge sort;500;209820
basic mass;heap sort;500;51010
basic mass;shell(Ciur) sort;500;21420
basic mass;shell sort;500;26330
basic mass;bubble sort;600;1190140
basic mass;bubble(Ayverson1) sort;600;1686570
basic mass;bubble(Ayverson2) sort;600;1039030
basic mass;selection sort;600;600870
basic mass;insertion sort;600;361100
basic mass;binary insertion sort;600;265550
basic mass;counting sort;600;5950
basic mass;radix sort;600;8740
basic mass;quick sort;600;55630
basic mass;merge sort;600;220610
