Type;Sort;Size;Time(ns)
basic mass;bubble(Ayverson1) sort;3900;75018770
basic mass;bubble(Ayverson2) sort;3900;44667890
basic mass;selection sort;3900;23630610
basic mass;insertion sort;3900;14309840
basic mass;binary insertion sort;3900;10488620
basic mass;counting sort;3900;49030
basic mass;radix sort;3900;92480
basic mass;quick sort;3900;2158530
basic mass;merge sort;3900;1473240
basic mass;heap sort;3900;528660
basic mass;shell(Ciur) sort;3900;233600
basic mass;shell sort;3900;286030
basic mass;bubble sort;4000;53674340
basic mass;bubble(Ayverson1) sort;4000;81103410
basic mass;bubble(Ayverson2) sort;4000;47493660
basic mass;selection sort;4000;26022360
basic mass;insertion sort;4000;14929880
basic mass;binary insertion sort;4000;11241130
basic mass;counting sort;4000;29010
basic mass;radix sort;4000;50950
basic mass;quick sort;4000;1702200
basic mass;merge sort;4000;1504230
basic mass;heap sort;4000;544700
basic mass;shell(Ciur) sort;4000;231730
basic mass;shell sort;4000;342080
basic mass;bubble sort;4100;55836220
basic mass;bubble(Ayverson1) sort;4100;86648750
basic mass;bubble(Ayverson2) sort;4100;51070230
basic mass;selection sort;4100;26824410
basic mass;insertion sort;4100;17740130
basic mass;binary insertion sort;4100;12284800
basic mass;counting sort;4100;33540
basic mass;radix sort;4100;58020
basic mass;quick sort;4100;2292960
basic mass;merge sort;4100;1541550
basic mass;heap sort;4100;561840
basic mass;shell(Ciur) sort;4100;246120
basic mass;shell sort;4100;379680
large mass;bubble sort;400;534330
large mass;bubble(Ayverson1) sort;400;841810
large mass;bubble(Ayverson2) sort;400;521530
large mass;selection sort;400;281200
large mass;insertion sort;400;153260
large mass;binary insertion sort;400;116420
large mass;counting sort;400;18440
large mass;radix sort;400;11710
large mass;quick sort;400;20930
large mass;merge sort;400;149240
large mass;heap sort;400;41850
large mass;shell(Ciur) sort;400;29600
large mass;shell sort;400;45580
large mass;bubble sort;500;803110
large mass;bubble(Ayverson1) sort;500;1260580
large mass;bubble(Ayverson2) sort;500;723130
large mass;selection sort;500;473580
large mass;insertion sort;500;291150
large mass;binary insertion sort;500;207270
large mass;counting sort;500;17550
large mass;radix sort;500;12890
large mass;quick sort;500;33070
large mass;merge sort;500;189480
large mass;heap sort;500;72770
large mass;shell(Ciur) sort;500;44270
large mass;shell sort;500;51460
large mass;bubble sort;600;1201630
large mass;bubble(Ayverson1) sort;600;1791600
large mass;bubble(Ayverson2) sort;600;1109000
large mass;selection sort;600;609270
large mass;insertion sort;600;399320
large mass;binary insertion sort;600;261690
large mass;counting sort;600;21620
large mass;radix sort;600;14340
large mass;quick sort;600;36900
large mass;merge sort;600;238820
large mass;heap sort;600;79990
large mass;shell(Ciur) sort;600;75810
large mass;shell sort;600;69160
large mass;bubble sort;700;1656070
large mass;bubble(Ayverson1) sort;700;2909100
large mass;bubble(Ayverson2) sort;700;1453890
large mass;selection sort;700;853440
large mass;insertion sort;700;579840
large mass;binary insertion sort;700;341780
large mass;counting sort;700;23350
large mass;radix sort;700;17290
large mass;quick sort;700;45080
large mass;merge sort;700;302210
large mass;heap sort;700;90660
large mass;shell(Ciur) sort;700;69360
large mass;shell sort;700;82900
large mass;bubble sort;800;2043140
large mass;bubble(Ayverson1) sort;800;3203480
large mass;bubble(Ayverson2) sort;800;1869930
large mass;selection sort;800;1086740
large mass;insertion sort;800;653740
large mass;binary insertion sort;800;480270
large mass;counting sort;800;24900
large mass;radix sort;800;24660
large mass;quick sort;800;73100
large mass;merge sort;800;551230
large mass;heap sort;800;109810
large mass;shell(Ciur) sort;800;77680
large mass;shell sort;800;115350
large mass;bubble sort;900;2793630
large mass;bubble(Ayverson1) sort;900;4050650
large mass;bubble(Ayverson2) sort;900;2459990
large mass;selection sort;900;1651580
large mass;insertion sort;900;978470
large mass;binary insertion sort;900;602940
large mass;counting sort;900;27680
large mass;radix sort;900;22710
large mass;quick sort;900;61200
large mass;merge sort;900;502270
large mass;heap sort;900;129170
large mass;shell(Ciur) sort;900;88920
large mass;shell sort;900;120250
large mass;bubble sort;1000;3312390
large mass;bubble(Ayverson1) sort;1000;5119410
large mass;bubble(Ayverson2) sort;1000;3055620
large mass;selection sort;1000;1757710
large mass;insertion sort;1000;1244740
large mass;binary insertion sort;1000;705770
large mass;counting sort;1000;24220
large mass;radix sort;1000;24980
large mass;quick sort;1000;75170
large mass;merge sort;1000;500010
large mass;heap sort;1000;142300
large mass;shell(Ciur) sort;1000;104180
large mass;shell sort;1000;118680
large mass;bubble sort;1100;3848710
large mass;bubble(Ayverson1) sort;1100;6086970
large mass;bubble(Ayverson2) sort;1100;3332030
large mass;selection sort;1100;2284100
large mass;insertion sort;1100;1464870
large mass;binary insertion sort;1100;857820
large mass;counting sort;1100;28680
large mass;radix sort;1100;26020
large mass;quick sort;1100;74450
large mass;merge sort;1100;427650
large mass;heap sort;1100;158900
large mass;shell(Ciur) sort;1100;114360
large mass;shell sort;1100;137140
large mass;bubble sort;1200;4742190
large mass;bubble(Ayverson1) sort;1200;7247820
large mass;bubble(Ayverson2) sort;1200;4280300
large mass;selection sort;1200;2427690
large mass;insertion sort;1200;1779610
large mass;binary insertion sort;1200;1084960
large mass;counting sort;1200;29520
large mass;radix sort;1200;42200
large mass;quick sort;1200;101080
large mass;merge sort;1200;493440
large mass;heap sort;1200;175580
large mass;shell(Ciur) sort;1200;142560
large mass;shell sort;1200;180980
large mass;bubble sort;1300;5477710
large mass;bubble(Ayverson1) sort;1300;8604880
large mass;bubble(Ayverson2) sort;1300;5380780
large mass;selection sort;1300;2818360
large mass;insertion sort;1300;2047230
large mass;binary insertion sort;1300;1289140
large mass;counting sort;1300;28170
large mass;radix sort;1300;55990
large mass;quick sort;1300;138430
large mass;merge sort;1300;664130
large mass;heap sort;1300;195290
large mass;shell(Ciur) sort;1300;173940
large mass;shell sort;1300;246150
large mass;bubble sort;1400;6814430
large mass;bubble(Ayverson1) sort;1400;10631640
large mass;bubble(Ayverson2) sort;1400;6224040
large mass;selection sort;1400;3190220
large mass;insertion sort;1400;2293810
large mass;binary insertion sort;1400;1546360
large mass;counting sort;1400;31360
large mass;radix sort;1400;34790
large mass;quick sort;1400;104910
large mass;merge sort;1400;549590
large mass;heap sort;1400;207300
large mass;shell(Ciur) sort;1400;150170
large mass;shell sort;1400;185370
large mass;bubble sort;1500;7286790
large mass;bubble(Ayverson1) sort;1500;11619280
large mass;bubble(Ayverson2) sort;1500;6962800
large mass;selection sort;1500;3776070
large mass;insertion sort;1500;2785580
large mass;binary insertion sort;1500;1604070
large mass;counting sort;1500;34280
large mass;radix sort;1500;36550
large mass;quick sort;1500;114790
large mass;merge sort;1500;594910
large mass;heap sort;1500;225900
large mass;shell(Ciur) sort;1500;172360
large mass;shell sort;1500;202190
large mass;bubble sort;1600;8238570
large mass;bubble(Ayverson1) sort;1600;14382940
large mass;bubble(Ayverson2) sort;1600;7786920
large mass;selection sort;1600;4294180
large mass;insertion sort;1600;2887880
large mass;binary insertion sort;1600;1762680
large mass;counting sort;1600;35110
large mass;radix sort;1600;37620
large mass;quick sort;1600;127070
large mass;merge sort;1600;621400
large mass;heap sort;1600;238330
large mass;shell(Ciur) sort;1600;192900
large mass;shell sort;1600;224130
large mass;bubble sort;1700;9063830
large mass;bubble(Ayverson1) sort;1700;14673280
large mass;bubble(Ayverson2) sort;1700;8833390
large mass;selection sort;1700;8135260
large mass;insertion sort;1700;3490720
large mass;binary insertion sort;1700;1983380
large mass;counting sort;1700;37280
large mass;radix sort;1700;38790
large mass;quick sort;1700;144810
large mass;merge sort;1700;1277830
large mass;heap sort;1700;398480
large mass;shell(Ciur) sort;1700;196960
large mass;shell sort;1700;233840
large mass;bubble sort;1800;10453410
large mass;bubble(Ayverson1) sort;1800;17512790
large mass;bubble(Ayverson2) sort;1800;9910380
large mass;selection sort;1800;5384780
large mass;insertion sort;1800;3581910
large mass;binary insertion sort;1800;2148160
large mass;counting sort;1800;36380
large mass;radix sort;1800;41020
large mass;quick sort;1800;142360
large mass;merge sort;1800;712740
large mass;heap sort;1800;286010
large mass;shell(Ciur) sort;1800;204940
large mass;shell sort;1800;275010
large mass;bubble sort;1900;11827820
large mass;bubble(Ayverson1) sort;1900;20294360
large mass;bubble(Ayverson2) sort;1900;12257550
large mass;selection sort;1900;7577810
large mass;insertion sort;1900;4698340
large mass;binary insertion sort;1900;2899670
large mass;counting sort;1900;41610
large mass;radix sort;1900;61040
large mass;quick sort;1900;164110
large mass;merge sort;1900;832740
large mass;heap sort;1900;438150
large mass;shell(Ciur) sort;1900;220120
large mass;shell sort;1900;284960
large mass;bubble sort;2000;13356560
large mass;bubble(Ayverson1) sort;2000;19662820
large mass;bubble(Ayverson2) sort;2000;12793100
large mass;selection sort;2000;8144400
large mass;insertion sort;2000;4696890
large mass;binary insertion sort;2000;3220020
large mass;counting sort;2000;39150
large mass;radix sort;2000;49330
large mass;quick sort;2000;166790
large mass;merge sort;2000;772790
large mass;heap sort;2000;339910
large mass;shell(Ciur) sort;2000;261050
large mass;shell sort;2000;275090
large mass;bubble sort;2100;14414040
large mass;bubble(Ayverson1) sort;2100;23700140
large mass;bubble(Ayverson2) sort;2100;13319380
large mass;selection sort;2100;7371820
large mass;insertion sort;2100;5135900
large mass;binary insertion sort;2100;3128770
large mass;counting sort;2100;54690
large mass;radix sort;2100;87200
large mass;quick sort;2100;217780
large mass;merge sort;2100;930320
large mass;heap sort;2100;345520
large mass;shell(Ciur) sort;2100;250750
large mass;shell sort;2100;307480
large mass;bubble sort;2200;17967090
large mass;bubble(Ayverson1) sort;2200;26639640
large mass;bubble(Ayverson2) sort;2200;15208820
large mass;selection sort;2200;8028450
large mass;insertion sort;2200;5776950
large mass;binary insertion sort;2200;3186590
large mass;counting sort;2200;43400
large mass;radix sort;2200;49980
large mass;quick sort;2200;171060
large mass;merge sort;2200;870620
large mass;heap sort;2200;344490
large mass;shell(Ciur) sort;2200;251910
large mass;shell sort;2200;306720
large mass;bubble sort;2300;17355790
large mass;bubble(Ayverson1) sort;2300;27886850
large mass;bubble(Ayverson2) sort;2300;16968430
large mass;selection sort;2300;8926790
large mass;insertion sort;2300;6838460
large mass;binary insertion sort;2300;3621910
large mass;counting sort;2300;48440
large mass;radix sort;2300;52670
large mass;quick sort;2300;269500
large mass;merge sort;2300;948980
large mass;heap sort;2300;373380
large mass;shell(Ciur) sort;2300;271280
large mass;shell sort;2300;344650
large mass;bubble sort;2400;19295750
large mass;bubble(Ayverson1) sort;2400;31371820
large mass;bubble(Ayverson2) sort;2400;19914920
large mass;selection sort;2400;9642030
large mass;insertion sort;2400;7191970
large mass;binary insertion sort;2400;3956950
large mass;counting sort;2400;44310
large mass;radix sort;2400;61610
large mass;quick sort;2400;205190
large mass;merge sort;2400;977960
large mass;heap sort;2400;391320
large mass;shell(Ciur) sort;2400;324900
large mass;shell sort;2400;351950
large mass;bubble sort;2500;20255100
large mass;bubble(Ayverson1) sort;2500;32013490
large mass;bubble(Ayverson2) sort;2500;19824000
large mass;selection sort;2500;9849510
large mass;insertion sort;2500;7020880
large mass;binary insertion sort;2500;4133390
large mass;counting sort;2500;44680
large mass;radix sort;2500;114610
large mass;quick sort;2500;210880
large mass;merge sort;2500;998180
large mass;heap sort;2500;410290
large mass;shell(Ciur) sort;2500;326180
large mass;shell sort;2500;392010
large mass;bubble sort;2600;21779050
large mass;bubble(Ayverson1) sort;2600;35482420
large mass;bubble(Ayverson2) sort;2600;20831930
large mass;selection sort;2600;11310780
large mass;insertion sort;2600;7677980
large mass;binary insertion sort;2600;4245960
large mass;counting sort;2600;42950
large mass;radix sort;2600;118910
large mass;quick sort;2600;223600
large mass;merge sort;2600;1027740
large mass;heap sort;2600;422910
large mass;shell(Ciur) sort;2600;343100
large mass;shell sort;2600;392900
large mass;bubble sort;2700;22788700
large mass;bubble(Ayverson1) sort;2700;38394240
large mass;bubble(Ayverson2) sort;2700;23403220
large mass;selection sort;2700;11565440
large mass;insertion sort;2700;8062530
large mass;binary insertion sort;2700;4713530
large mass;counting sort;2700;47770
large mass;radix sort;2700;61460
large mass;quick sort;2700;229870
large mass;merge sort;2700;1059240
large mass;heap sort;2700;441730
large mass;shell(Ciur) sort;2700;326140
large mass;shell sort;2700;401650
large mass;bubble sort;2800;27032110
large mass;bubble(Ayverson1) sort;2800;42096410
large mass;bubble(Ayverson2) sort;2800;23512410
large mass;selection sort;2800;12389650
large mass;insertion sort;2800;9160310
large mass;binary insertion sort;2800;5483290
large mass;counting sort;2800;47950
large mass;radix sort;2800;77580
large mass;quick sort;2800;225800
large mass;merge sort;2800;1097740
large mass;heap sort;2800;464120
large mass;shell(Ciur) sort;2800;353650
large mass;shell sort;2800;417120
large mass;bubble sort;2900;28299450
large mass;bubble(Ayverson1) sort;2900;42136580
large mass;bubble(Ayverson2) sort;2900;25639500
large mass;selection sort;2900;13456940
large mass;insertion sort;2900;10193980
large mass;binary insertion sort;2900;5611110
large mass;counting sort;2900;53670
large mass;radix sort;2900;70360
large mass;quick sort;2900;251010
large mass;merge sort;2900;1179840
large mass;heap sort;2900;500980
large mass;shell(Ciur) sort;2900;356420
large mass;shell sort;2900;468410
large mass;bubble sort;3000;29612430
large mass;bubble(Ayverson1) sort;3000;46656910
large mass;bubble(Ayverson2) sort;3000;29984840
large mass;selection sort;3000;14291230
large mass;insertion sort;3000;10299300
large mass;binary insertion sort;3000;5785580
large mass;counting sort;3000;48130
large mass;radix sort;3000;69320
large mass;quick sort;3000;245480
large mass;merge sort;3000;1176130
large mass;heap sort;3000;517460
large mass;shell(Ciur) sort;3000;388310
large mass;shell sort;3000;456230
large mass;bubble sort;3100;32290900
large mass;bubble(Ayverson1) sort;3100;49189840
large mass;bubble(Ayverson2) sort;3100;29541510
large mass;selection sort;3100;15523710
large mass;insertion sort;3100;11543310
large mass;binary insertion sort;3100;6389440
large mass;counting sort;3100;55580
large mass;radix sort;3100;70800
large mass;quick sort;3100;265050
large mass;merge sort;3100;1248260
large mass;heap sort;3100;520550
large mass;shell(Ciur) sort;3100;422170
large mass;shell sort;3100;521380
large mass;bubble sort;3200;33026430
large mass;bubble(Ayverson1) sort;3200;56317050
large mass;bubble(Ayverson2) sort;3200;31463560
large mass;selection sort;3200;16524550
large mass;insertion sort;3200;12433760
large mass;binary insertion sort;3200;6840920
large mass;counting sort;3200;55110
large mass;radix sort;3200;74900
large mass;quick sort;3200;273730
large mass;merge sort;3200;1260930
large mass;heap sort;3200;528270
large mass;shell(Ciur) sort;3200;455420
large mass;shell sort;3200;559940
large mass;bubble sort;3300;36965040
large mass;bubble(Ayverson1) sort;3300;56657470
large mass;bubble(Ayverson2) sort;3300;35151930
large mass;selection sort;3300;17916940
large mass;insertion sort;3300;11725440
large mass;binary insertion sort;3300;6820020
large mass;counting sort;3300;51740
large mass;radix sort;3300;74300
large mass;quick sort;3300;275390
large mass;merge sort;3300;1297340
large mass;heap sort;3300;537030
large mass;shell(Ciur) sort;3300;403730
large mass;shell sort;3300;521940
large mass;bubble sort;3400;38244200
large mass;bubble(Ayverson1) sort;3400;59835110
large mass;bubble(Ayverson2) sort;3400;35289430
large mass;selection sort;3400;18862160
large mass;insertion sort;3400;13551830
large mass;binary insertion sort;3400;7831670
large mass;counting sort;3400;53310
large mass;radix sort;3400;79850
large mass;quick sort;3400;290420
large mass;merge sort;3400;1333450
large mass;heap sort;3400;574390
large mass;shell(Ciur) sort;3400;443430
large mass;shell sort;3400;511590
large mass;bubble sort;3500;40415450
large mass;bubble(Ayverson1) sort;3500;64854420
large mass;bubble(Ayverson2) sort;3500;37476040
large mass;selection sort;3500;19327040
large mass;insertion sort;3500;14217970
large mass;binary insertion sort;3500;8293060
large mass;counting sort;3500;56130
large mass;radix sort;3500;79870
large mass;quick sort;3500;306560
large mass;merge sort;3500;1379630
large mass;heap sort;3500;578070
large mass;shell(Ciur) sort;3500;455960
large mass;shell sort;3500;532160
large mass;bubble sort;3600;44062060
large mass;bubble(Ayverson1) sort;3600;67099860
large mass;bubble(Ayverson2) sort;3600;41276160
large mass;selection sort;3600;20336980
large mass;insertion sort;3600;14969680
large mass;binary insertion sort;3600;8920610
large mass;counting sort;3600;59590
large mass;radix sort;3600;83630
large mass;quick sort;3600;317990
large mass;merge sort;3600;1472160
large mass;heap sort;3600;621620
large mass;shell(Ciur) sort;3600;504210
large mass;shell sort;3600;636570
large mass;bubble sort;3700;45870630
large mass;bubble(Ayverson1) sort;3700;71060750
large mass;bubble(Ayverson2) sort;3700;43155960
large mass;selection sort;3700;21041120
large mass;insertion sort;3700;15731380
large mass;binary insertion sort;3700;9143790
large mass;counting sort;3700;60520
large mass;radix sort;3700;89750
large mass;quick sort;3700;324890
large mass;merge sort;3700;1518620
large mass;heap sort;3700;614840
large mass;shell(Ciur) sort;3700;484970
large mass;shell sort;3700;579300
large mass;bubble sort;3800;48860030
large mass;bubble(Ayverson1) sort;3800;73989430
large mass;bubble(Ayverson2) sort;3800;46735980
large mass;selection sort;3800;25317100
large mass;insertion sort;3800;16289050
large mass;binary insertion sort;3800;9036060
large mass;counting sort;3800;69570
large mass;radix sort;3800;114770
large mass;quick sort;3800;314360
large mass;merge sort;3800;1441400
large mass;heap sort;3800;615670
large mass;shell(Ciur) sort;3800;507430
large mass;shell sort;3800;568090
large mass;bubble sort;3900;52984440
large mass;bubble(Ayverson1) sort;3900;83468510
large mass;bubble(Ayverson2) sort;3900;48478860
large mass;selection sort;3900;25973950
large mass;insertion sort;3900;17255420
large mass;binary insertion sort;3900;10429980
large mass;counting sort;3900;64850
large mass;radix sort;3900;91230
large mass;quick sort;3900;340300
large mass;merge sort;3900;2557020
large mass;heap sort;3900;669830
large mass;shell(Ciur) sort;3900;657450
large mass;shell sort;3900;692540
large mass;bubble sort;4000;52971410
large mass;bubble(Ayverson1) sort;4000;84882690
large mass;bubble(Ayverson2) sort;4000;51170010
large mass;selection sort;4000;26604650
large mass;insertion sort;4000;17965830
large mass;binary insertion sort;4000;11280430
large mass;counting sort;4000;66790
large mass;radix sort;4000;91440
large mass;quick sort;4000;365350
large mass;merge sort;4000;1646780
large mass;heap sort;4000;695080
large mass;shell(Ciur) sort;4000;524710
large mass;shell sort;4000;647170
large mass;bubble sort;4100;57284670
large mass;bubble(Ayverson1) sort;4100;89895110
large mass;bubble(Ayverson2) sort;4100;52462120
large mass;selection sort;4100;27384280
large mass;insertion sort;4100;19919960
large mass;binary insertion sort;4100;11614960
large mass;counting sort;4100;61940
large mass;radix sort;4100;95190
large mass;quick sort;4100;362460
large mass;merge sort;4100;1634780
large mass;heap sort;4100;738730
large mass;shell(Ciur) sort;4100;559170
large mass;shell sort;4100;857150
half sort mass;bubble sort;400;442160
half sort mass;bubble(Ayverson1) sort;400;705470
half sort mass;bubble(Ayverson2) sort;400;407400
half sort mass;selection sort;400;269450
half sort mass;insertion sort;400;133960
half sort mass;binary insertion sort;400;82890
half sort mass;counting sort;400;19650
half sort mass;radix sort;400;10420
half sort mass;quick sort;400;41400
half sort mass;merge sort;400;216380
half sort mass;heap sort;400;43990
half sort mass;shell(Ciur) sort;400;26890
half sort mass;shell sort;400;39570
half sort mass;bubble sort;500;893910
half sort mass;bubble(Ayverson1) sort;500;1165680
half sort mass;bubble(Ayverson2) sort;500;659360
half sort mass;selection sort;500;440840
half sort mass;insertion sort;500;242110
half sort mass;binary insertion sort;500;159790
half sort mass;counting sort;500;21500
half sort mass;radix sort;500;12680
half sort mass;quick sort;500;28830
half sort mass;merge sort;500;179680
half sort mass;heap sort;500;59010
half sort mass;shell(Ciur) sort;500;39010
half sort mass;shell sort;500;46900
half sort mass;bubble sort;600;1167360
half sort mass;bubble(Ayverson1) sort;600;1748060
half sort mass;bubble(Ayverson2) sort;600;897360
half sort mass;selection sort;600;672080
half sort mass;insertion sort;600;335590
half sort mass;binary insertion sort;600;184550
half sort mass;counting sort;600;22030
half sort mass;radix sort;600;15470
half sort mass;quick sort;600;41410
half sort mass;merge sort;600;405430
half sort mass;heap sort;600;78000
half sort mass;shell(Ciur) sort;600;47330
half sort mass;shell sort;600;59920
half sort mass;bubble sort;700;1320990
half sort mass;bubble(Ayverson1) sort;700;2143950
half sort mass;bubble(Ayverson2) sort;700;1217500
half sort mass;selection sort;700;916140
half sort mass;insertion sort;700;341830
half sort mass;binary insertion sort;700;251280
half sort mass;counting sort;700;22750
half sort mass;radix sort;700;18190
half sort mass;quick sort;700;49220
half sort mass;merge sort;700;256540
half sort mass;heap sort;700;86880
half sort mass;shell(Ciur) sort;700;59910
half sort mass;shell sort;700;75800
half sort mass;bubble sort;800;1743490
half sort mass;bubble(Ayverson1) sort;800;2728340
half sort mass;bubble(Ayverson2) sort;800;1450170
half sort mass;selection sort;800;1046270
half sort mass;insertion sort;800;525280
half sort mass;binary insertion sort;800;290050
half sort mass;counting sort;800;24230
half sort mass;radix sort;800;19700
half sort mass;quick sort;800;57160
half sort mass;merge sort;800;287480
half sort mass;heap sort;800;106170
half sort mass;shell(Ciur) sort;800;72780
half sort mass;shell sort;800;96510
half sort mass;bubble sort;900;2238880
half sort mass;bubble(Ayverson1) sort;900;3504860
half sort mass;bubble(Ayverson2) sort;900;2009430
half sort mass;selection sort;900;1333790
half sort mass;insertion sort;900;708440
half sort mass;binary insertion sort;900;414620
half sort mass;counting sort;900;25620
half sort mass;radix sort;900;25730
half sort mass;quick sort;900;59460
half sort mass;merge sort;900;332500
half sort mass;heap sort;900;117220
half sort mass;shell(Ciur) sort;900;87800
half sort mass;shell sort;900;100460
half sort mass;bubble sort;1000;2785800
half sort mass;bubble(Ayverson1) sort;1000;4544840
half sort mass;bubble(Ayverson2) sort;1000;2749090
half sort mass;selection sort;1000;1703030
half sort mass;insertion sort;1000;906730
half sort mass;binary insertion sort;1000;690310
half sort mass;counting sort;1000;25700
half sort mass;radix sort;1000;25010
half sort mass;quick sort;1000;75110
half sort mass;merge sort;1000;361840
half sort mass;heap sort;1000;135520
half sort mass;shell(Ciur) sort;1000;126350
half sort mass;shell sort;1000;158850
half sort mass;bubble sort;1100;3367820
half sort mass;bubble(Ayverson1) sort;1100;5678140
half sort mass;bubble(Ayverson2) sort;1100;2985510
half sort mass;selection sort;1100;2048210
half sort mass;insertion sort;1100;1040770
half sort mass;binary insertion sort;1100;702600
half sort mass;counting sort;1100;43030
half sort mass;radix sort;1100;49100
half sort mass;quick sort;1100;112520
half sort mass;merge sort;1100;515720
half sort mass;heap sort;1100;150410
half sort mass;shell(Ciur) sort;1100;106230
half sort mass;shell sort;1100;138140
half sort mass;bubble sort;1200;4008770
half sort mass;bubble(Ayverson1) sort;1200;6491590
half sort mass;bubble(Ayverson2) sort;1200;3544820
half sort mass;selection sort;1200;2371900
half sort mass;insertion sort;1200;1248150
half sort mass;binary insertion sort;1200;722120
half sort mass;counting sort;1200;29270
half sort mass;radix sort;1200;30440
half sort mass;quick sort;1200;91650
half sort mass;merge sort;1200;439890
half sort mass;heap sort;1200;176950
half sort mass;shell(Ciur) sort;1200;119090
half sort mass;shell sort;1200;141900
half sort mass;bubble sort;1300;4684920
half sort mass;bubble(Ayverson1) sort;1300;7637050
half sort mass;bubble(Ayverson2) sort;1300;4272910
half sort mass;selection sort;1300;2844120
half sort mass;insertion sort;1300;1487760
half sort mass;binary insertion sort;1300;868420
half sort mass;counting sort;1300;29680
half sort mass;radix sort;1300;30490
half sort mass;quick sort;1300;97620
half sort mass;merge sort;1300;479920
half sort mass;heap sort;1300;194780
half sort mass;shell(Ciur) sort;1300;147050
half sort mass;shell sort;1300;164160
half sort mass;bubble sort;1400;5379300
half sort mass;bubble(Ayverson1) sort;1400;8912610
half sort mass;bubble(Ayverson2) sort;1400;5014450
half sort mass;selection sort;1400;3291740
half sort mass;insertion sort;1400;1665300
half sort mass;binary insertion sort;1400;973880
half sort mass;counting sort;1400;49060
half sort mass;radix sort;1400;67560
half sort mass;quick sort;1400;175970
half sort mass;merge sort;1400;533080
half sort mass;heap sort;1400;202100
half sort mass;shell(Ciur) sort;1400;156840
half sort mass;shell sort;1400;173580
half sort mass;bubble sort;1500;6411700
half sort mass;bubble(Ayverson1) sort;1500;11015500
half sort mass;bubble(Ayverson2) sort;1500;5577870
half sort mass;selection sort;1500;3993790
half sort mass;insertion sort;1500;2079510
half sort mass;binary insertion sort;1500;1207860
half sort mass;counting sort;1500;35800
half sort mass;radix sort;1500;38330
half sort mass;quick sort;1500;130810
half sort mass;merge sort;1500;553970
half sort mass;heap sort;1500;228620
half sort mass;shell(Ciur) sort;1500;159770
half sort mass;shell sort;1500;194840
half sort mass;bubble sort;1600;6906570
half sort mass;bubble(Ayverson1) sort;1600;10918110
half sort mass;bubble(Ayverson2) sort;1600;6035240
half sort mass;selection sort;1600;4113630
half sort mass;insertion sort;1600;2070470
half sort mass;binary insertion sort;1600;1229960
half sort mass;counting sort;1600;34530
half sort mass;radix sort;1600;38410
half sort mass;quick sort;1600;138550
half sort mass;merge sort;1600;581790
half sort mass;heap sort;1600;242520
half sort mass;shell(Ciur) sort;1600;169290
half sort mass;shell sort;1600;202960
half sort mass;bubble sort;1700;8126400
half sort mass;bubble(Ayverson1) sort;1700;13019330
half sort mass;bubble(Ayverson2) sort;1700;7147400
half sort mass;selection sort;1700;4855200
half sort mass;insertion sort;1700;2500770
half sort mass;binary insertion sort;1700;1329750
half sort mass;counting sort;1700;35860
half sort mass;radix sort;1700;41710
half sort mass;quick sort;1700;174370
half sort mass;merge sort;1700;608330
half sort mass;heap sort;1700;276330
half sort mass;shell(Ciur) sort;1700;179160
half sort mass;shell sort;1700;212180
half sort mass;bubble sort;1800;9097130
half sort mass;bubble(Ayverson1) sort;1800;14581520
half sort mass;bubble(Ayverson2) sort;1800;8452710
half sort mass;selection sort;1800;5502920
half sort mass;insertion sort;1800;3123010
half sort mass;binary insertion sort;1800;2333020
half sort mass;counting sort;1800;36910
half sort mass;radix sort;1800;41900
half sort mass;quick sort;1800;156480
half sort mass;merge sort;1800;676230
half sort mass;heap sort;1800;272690
half sort mass;shell(Ciur) sort;1800;190300
half sort mass;shell sort;1800;231970
half sort mass;bubble sort;1900;10113380
half sort mass;bubble(Ayverson1) sort;1900;15966970
half sort mass;bubble(Ayverson2) sort;1900;8760350
half sort mass;selection sort;1900;6007100
half sort mass;insertion sort;1900;3190820
half sort mass;binary insertion sort;1900;2121100
half sort mass;counting sort;1900;36970
half sort mass;radix sort;1900;43790
half sort mass;quick sort;1900;174780
half sort mass;merge sort;1900;1386440
half sort mass;heap sort;1900;426390
half sort mass;shell(Ciur) sort;1900;218090
half sort mass;shell sort;1900;243930
half sort mass;bubble sort;2000;11211180
half sort mass;bubble(Ayverson1) sort;2000;18045180
half sort mass;bubble(Ayverson2) sort;2000;9997820
half sort mass;selection sort;2000;6285420
half sort mass;insertion sort;2000;3468940
half sort mass;binary insertion sort;2000;1920150
half sort mass;counting sort;2000;39790
half sort mass;radix sort;2000;49770
half sort mass;quick sort;2000;164570
half sort mass;merge sort;2000;738360
half sort mass;heap sort;2000;309990
half sort mass;shell(Ciur) sort;2000;215870
half sort mass;shell sort;2000;241230
half sort mass;bubble sort;2100;11895740
half sort mass;bubble(Ayverson1) sort;2100;18976670
half sort mass;bubble(Ayverson2) sort;2100;11392640
half sort mass;selection sort;2100;8049110
half sort mass;insertion sort;2100;3781060
half sort mass;binary insertion sort;2100;2167320
half sort mass;counting sort;2100;43680
half sort mass;radix sort;2100;49310
half sort mass;quick sort;2100;181370
half sort mass;merge sort;2100;907590
half sort mass;heap sort;2100;313390
half sort mass;shell(Ciur) sort;2100;227280
half sort mass;shell sort;2100;283840
half sort mass;bubble sort;2200;13608380
half sort mass;bubble(Ayverson1) sort;2200;23069050
half sort mass;bubble(Ayverson2) sort;2200;12321120
half sort mass;selection sort;2200;8027830
